removed_count,fraction_removed,random_failure_mean_gcc_fraction,random_failure_std_gcc_fraction,degree_attack_gcc_size,degree_attack_gcc_fraction,betweenness_attack_gcc_size,betweenness_attack_gcc_fraction
73,0.8021978021978022,0.17241758241758215,0.015037795087057685,1,0.01098901098901099,1,0.01098901098901099
74,0.8131868131868132,0.1623076923076921,0.015050767792408324,1,0.01098901098901099,1,0.01098901098901099
75,0.8241758241758241,0.15230769230769212,0.014401792804476272,1,0.01098901098901099,1,0.01098901098901099
76,0.8351648351648352,0.1420879120879119,0.014589861514692493,1,0.01098901098901099,1,0.01098901098901099
77,0.8461538461538461,0.13208791208791196,0.01396840145014035,1,0.01098901098901099,1,0.01098901098901099
78,0.8571428571428571,0.12230769230769216,0.013495390573857118,1,0.01098901098901099,1,0.01098901098901099
79,0.8681318681318682,0.11296703296703275,0.013260606785785053,1,0.01098901098901099,1,0.01098901098901099
80,0.8791208791208791,0.10318681318681298,0.01342652222106744,1,0.01098901098901099,1,0.01098901098901099
81,0.8901098901098901,0.09296703296703279,0.012919554643625196,1,0.01098901098901099,1,0.01098901098901099
82,0.9010989010989011,0.0826373626373625,0.012542049850238657,1,0.01098901098901099,1,0.01098901098901099
83,0.9120879120879121,0.07197802197802189,0.013009407163248457,1,0.01098901098901099,1,0.01098901098901099
84,0.9230769230769231,0.06175824175824171,0.012473785328860095,1,0.01098901098901099,1,0.01098901098901099
85,0.9340659340659341,0.05208791208791202,0.011856121334360816,1,0.01098901098901099,1,0.01098901098901099
86,0.945054945054945,0.0429670329670329,0.010718731911579498,1,0.01098901098901099,1,0.01098901098901099
87,0.9560439560439561,0.03318681318681315,0.010119923402160558,1,0.01098901098901099,1,0.01098901098901099
88,0.967032967032967,0.02351648351648351,0.008414042711572043,1,0.01098901098901099,1,0.01098901098901099
89,0.978021978021978,0.015164835164835144,0.005360788255105089,1,0.01098901098901099,1,0.01098901098901099
90,0.989010989010989,0.01098901098901097,1.9178089616120562e-17,1,0.01098901098901099,1,0.01098901098901099
91,1.0,0.0,0.0,0,0.0,0,0.0
